COMMAND=C:\Fixture\dcoir\out\DCOIR_FIXTURE_HOST_fixture179_t2_20260531_175810\tools\pslist64.exe -accepteula -nobanner -t
EXIT_CODE=0

STDOUT:
Process information for FIXTURE_HOST:

Name                             Pid Pri Thd  Hnd      VM      WS    Priv
FIXTURE_VENDOROSD                        25056   8   3  250   84360   14148    3048
explorer                       26244   8 305 6889 2154269036  416460  391600
  WindowsTerminal               1412   8  49  900 2153423100  101020   94044
    powershell                  5008   8  11  550 2152406372   82956  239400
    OpenConsole                23876   8   4  155 2151829660   10916    2332
    OpenConsole                33056   8   4  158 2151829660   11180    2328
    powershell                 39680   8   9  426 2152346868   62220   67956
  notepad++                    22508   8  24  654 6356092   96988  115756
  powershell                   35312   8  11  733 2152377424   96088   73276
    powershell                 28620   8  16  663 2152438952  162284  139508
      pslist64                 45352  13   4  233 4302012   11240    3920
        conhost                45156   8   2   95 2151774772    7276    1168
    conhost                    41340   8   4  278 2151847496   27332    8180
  msedge                       35948   8  70 2899 2388863688  385048  223064
    msedge                      2860   4  34  405 3783642100   14996  204940
    msedge                      3084   8   9  313 2252609036   12472    3080
    msedge                      3100   4  34  364 3783632628   98644  110728
    msedge                      8544   8  14  268 2303390668   28620   10840
    msedge                      9080   4  34  348 3783639484   82072   52716
    msedge                     10352   4  26  293 3783562800   64492   31316
    msedge                     11376   8  11  196 2303310068   20728   12884
    msedge                     18144   8  30  567 2303679340   68076   38664
    msedge                     19736   4  34  444 3783648012  233936  237968
    msedge                     20952   8  16  257 3783479856   38660   26180
    msedge                     21204   8  38  541 3783733652  483436  424996
    msedge                     22028   4  30  311 3783595708   12368   33964
    msedge                     22352   8  11  216 2303320968   19860    9556
    msedge                     28788   4  28  329 3783591000   12072   37160
    msedge                     29296   4  34  458 3785653912  178060  209736
    msedge                     31712   8  25  634 2304770016   50508   58548
    msedge                     35140   4  35  327 3783640880   58188   38728
    identity_helper            36016   8  12  222 2303206944   21608   10292
    msedge                     36332   8  34  352 3785594544   84336   75628
    msedge                     36672  10  70 1184 2306380188  286824 1045008
    msedge                     39980   4  34  366 3783633636  176972  133680
    msedge                     42056   4  37  631 3787672588  361736  343636
    msedge                     43020   4  32  402 3783615748   85936   41568
    msedge                     44648   4  13  216 3783450800   34076   19496
    msedge                     45932   4  33  389 3783697900  227564  166960
ArmourySocketServer            31200   6  16  272 4336476    1708    4404
  FIXTURE_VENDOR_framework                4996   6  39  768  509020   10448   85860
    FIXTURE_VENDOR_framework             21564  10  27  386  556444    1820   23312
    FIXTURE_VENDOR_framework             35692   6  15  329  366644    7020   15912
adb                            31416   8   5  216   67820    6472    2672
AdobeCollabSync                33552   6   7  416 2151885600    6096    8240
  AdobeCollabSync               2972   6  46 1362 2151981784   24200   40776
  acrotray                     45504   6  12  611 2151859848   17704    8304
winlogon                       35884  13   4  296 2151824832   24356    2984
  fontdrvhost                  26448   8   5   43 2151856476    7296    3972
  dwm                          39840  13  78 1822 2153767716  115756  436912
csrss                          39472  13  18  971 2151829512    8552    3708


STDERR:

